,id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year,brand
10,588,False,Tabriz,Wednesday 05AM,ده روزه خریدم استفاده نکردم پول لازمم میفروشم.انگار گوشی صفر میخری اما با قیمت پایینتر.,0,,mobile,600000,موبایل ال جی k10 lTE,,,LG
11,623,True,Tehran,Saturday 05AM,"گوشی بدون زدگی وخطوخش میباشد.رنگ لاکچری،دارای گارانتی تا اوریل 2018.
درصورت تعویض با گوشی های زیر مبلغ به صورت توافقی سر داده میشود.
1-galaxy S7
2-galaxy S7 edge
3_LG V20
4_HTC10",2,,mobile,1500000,گوشی،mate8(64G),,,HUAWEI
12,768,True,Shiraz,Friday 05AM,"سلام اس 6 رنگ گلد در حد نو واقعا عالی هست 32گیگ فقط, فروش یکو 150 این گهی تکراری نیست با تشکر از دیوار",0,,mobile,1150000,s6.32g,,,SAMSUNG
13,836,True,Isfahan,Friday 04PM,"با آکبند مو نمیزنه یکماه کارکرده رنگ گرى lla هنزفزیشم آکبنده. 
 به همراه گارد وگلس پشت و رو
قیمت مقطوع",4,,mobile,2250000,Iphone 6s 128 gray ak,,,APPLE
14,880,True,Tehran,Friday 10AM,"اس سون مشکی دوسیم کارت حافظه داخلی ٣٢ گیگ تا ٦٥ گیک هم رم ساپورت میکنه گارانتی معتبر داره همراه سرویس سه لیبل 
عکس نزاشتم چون با نو فرقی نداره 
شما فکر کنید دارید اکبند میخرید",0,,mobile,1800000,s7 فلت دوسیم یک ماه خریدم,,,SAMSUNG
15,951,True,Mashhad,Monday 01AM,ساده کلیدی ضداب ضد ضربه کینژندا با باتری عالی فقط برای کسانی که گوشی جون سخت میخوان 3310 نوکیا رو به یاد میاره .لطفا پیام بدید بگید هامر.,1,,mobile,222000,جانشین نوکیا 3310 گوشی جان سخت هامر,,,NOKIA
16,967,True,Shiraz,Tuesday 04AM,فکر کن داری گوشی نو میخری در حد اک قول هواوی 8 هسته ای قدرتمند رم اجرایی 3گیگ حافظه داخلی 32گیگ قابل ارتقا تا 128گیگ دوسیم4Gهمزمان دوربین فوق العاده 13مگاپیکسلی وسلفی 8مگاپیکسلی عالی دارای حسگر اثر انگشت فوق العاده حساس  بهترین رنگ گری صفحه 5.5اینچی فول اچدی صدای استریو بدنه کاملا فلزی قابل معاوضه قیمت پرت ندین نوش الان 1100هست .,0,,mobile,790000,گوشی هواوی G8مدل 4G(معاوضه ای),,,HUAWEI
17,972,True,Qom,Wednesday 01AM,سلام فقط پیام بدید.گوشی در حد اک.تمیز.مشکی.موردی بود پیام بدید مناسب بود حتما جواب میدم.باتشکر از شما ودیوار......,0,,mobile,800000,فروش یا تعویض J7 2016,,,SAMSUNG
18,1012,False,Karaj,Monday 10PM,"گوشی سالم 
تقریبا ۲ ماه کار میکنه 
هیچ مشکلی هم نداره 
مهلت تست هم دارد
معاوضه هم دارم پیشنهاداتون و بگید",0,,mobile,950000,samsung a510,,,SAMSUNG
19,1073,True,Tehran,Wednesday 10PM,"باسلام،
گوشی ١هفتس کار کرده و در حد اکه، ضد ضربه و ضد آب .با تمام وسایل کامل
 با تشکر از مدیریت دیوار",2,,mobile,-1,گوشی کاترپیلار B25,,,Unknown
20,1094,False,Isfahan,Sunday 02AM,باسلام گوشی فوق العاده تمیزه ،بدون هیچگونه خط و خش ازهمه نظر تاییدش میکنم,2,,web,1450000,سامسونگ اس ٦ ایدج ٦٤ گیگ,,,SAMSUNG
21,1129,True,Tehran,Thursday 02PM,"درحد با لوازم کامل
دور تا دور سالم حتی بدون یک خط",2,,mobile,950000,samsung a5 2016,,,SAMSUNG
22,1173,False,Shiraz,Friday 03AM,"آیفون 4s تمیز و کاملا سالم به شرط عالی و دیدنی.
32گیگ
ios 9.3.5",2,,mobile,600000,iphone 4s,,,APPLE
23,1293,True,Kermanshah,Monday 06PM,"گوشی از هر لحاظ سالمه 
آنتیک و کلکسیونی 

شارژر هم داره
  
قیمت مقطوع مقطوع مقطوع

برای خرید  فقط تماس بگیرید 
پیام ندید   شارژ ندارم که جواب بدم",2,,mobile,60000,گوشی زیمنس,,,Unknown
24,1351,False,Tehran,Sunday 12AM,اپل ۵s مشکی ۱۶ گیگ خوردگی داره تو عکس گزاشتم وسایل کامل گوشی باز نشده تخفیف میدم یا حق,2,,mobile,800000,اپل ۵s مشکی,,,APPLE
25,1445,True,Isfahan,Sunday 12AM,باسلام گوشی فوق العاده عالی هست 3Gعالی تک سیم در کل گوشی خوبی هستش من 3ماه داشتمش خداییش راضی بودم ازش بخاطره اینکه گوشی LGخریدم میخوام بفروشمش با تشکر,4,,mobile,350000,گوشی سامسونگ s3عالی,,,SAMSUNG
26,1610,True,Karaj,Tuesday 12PM,"کاملا سالم وبدون خط وخش
دوربین اصلی۸
سلفی۵
اندروید۵
حافظه داخلی۸
لوازم کامل
تخفیف دارد.",2,,mobile,380000,سامسونگ گلکسی گرند پریم۲۰۱۶,,,SAMSUNG
27,1637,False,Mashhad,Tuesday 11AM,لومیا930وژن جدید دورطلایی پشت سفید تمیز دورش کمی خوردگی ولی تمییز گوشی از هرلحاظ سالمه محلت تست هم داره با گوشیا هم رده معاوظه دارم.مدل گوشیتونو پیام کنین و نقدی800000تومن.فروش بدلیل تک سیم بودن.ممنون از دیوار,1,,mobile,-1,لومیا930,,,NOKIA
28,1660,True,Karaj,Sunday 04PM,گوشی بسیار تمیز و نو معاوضه هم دارم,3,,mobile,2050000,iphone 6s 64g,,,APPLE
29,1790,True,Mashhad,Wednesday 01PM,با سلام گوشی هانر 4c درحد آک رنگ سفید بدون خط و خش با گلس و تمام لوازم کامل باطری کاملا سالم و بدون مشکل. درصورت معاوضه با سامسونگ j5 4g یا بالاتر,3,,mobile,400000,هانر 4c,,,HUAWEI
30,1937,True,Mashhad,Monday 08AM,این گوشی دارای اندروید 2.3 می باشد دارای سخت افزار قوی است و دوربین ۵ مگا پیکسل,2,,mobile,180000,گلکسی ace,,,SAMSUNG
31,2057,True,Qom,Saturday 01PM,"باسلام
ایفون٦رنگ مشکی
١٦گیگ سالم سالم 
بسیارتمیزبدونه خط وخش وضربه
اصلیLLAبه شرط کارشناسی
کارتن ولوازم کامل واصلی
لیبل گلس وگارد
تخفیف:::مشتری واقعی پای معامله انشاالله
باتشکر",1,,mobile,1450000,iphone6(16)gray,,,APPLE
32,2092,False,Tehran,Saturday 03PM,گوشی نو با همه وسایل قاب و گلس و برنامه کامل,3,,mobile,350000,گوشی هو اوی مدل وای تو تری,,,HUAWEI
33,2191,False,Tehran,Saturday 07AM,فروش کوشی اپل سون 7 ،۱۲۸ گیگ در رنگ های مختلف,1,,mobile,3300000,فروش گوشی اپل$NUM,,,APPLE
34,2247,False,Tehran,Sunday 06AM,یک ماه بیشتر کار نکرده به شرط بدون هیچگونه ضربه یا خش به رنگ شامپاینی,0,,web,850000,p8اصلی64گیگ,,,APPLE
35,2285,True,Mashhad,Saturday 05PM,"دوربین 12و8
اندروید5.1
حافظه داخلی8
ساپورت مموری تا32گیگ
دوسیم 
ساپورت 4G
صفحه نمایش5.5اینچ الترا HD
گوشی فوق طرح اصلی میباشد لطفا سوال نکنید قیمتشم مقطوعه چکو چونه نزنید چون تو کل دیوارو بگردید به این قیمت محاله پیدا کنید",2,,mobile,280000,سامسونگ گلکسی A8+,,,SAMSUNG
36,2287,True,Mashhad,Tuesday 07AM,"گوشی فرقی با نو نداره بدون هیچ ایرادی لوازم تکمیل و اصلی
فقط سوکت سیمکارتش خراب شده سیمکارتو نمیخونه
۱۶ گیگ به شرط رفرش و ریپک نبودن
lla",3,,mobile,580000,اپل 5s سیلور ۱۶ گیگ,,,APPLE
37,2410,False,Tehran,Tuesday 07AM,گوشی سالمه سالمه ب شرط میدم با هنذفری ،شارژر، کارتن واسه مشتری واقعی تخفیفم میدم,0,,mobile,350000,هواویG730,,,HUAWEI
38,2464,True,Shiraz,Saturday 03AM,سلام گوشی سامسونگ a3 نو نو.بدون کوچکترین خط و خش.به شرط.سفید 16 گیگ,0,,mobile,-1,سامسونگ a$NUMاک اک.سفید.به شرط,,,SAMSUNG
39,2534,False,Tehran,Friday 09AM,گوشی اپل٦ درحدنو.بالوازم کامل.بشرط LAA امریکا بدون خط و خش.١٦ گیک با مشتری واقیعم کنارمیام فوق العاده سالم تمیز,3,,mobile,1600000,گوشی ایفون٦,,,APPLE
40,2540,True,Tehran,Friday 11AM,گوشی سالم وتمیز با لوازم میباشد.,3,,web,1900000,موتورآلا AURA,,,MOTOROLA
41,2546,False,Mashhad,Wednesday 01PM,"ظرفیت 16g
بسیار بسیار تمیز
قابل مقایسه با آکبند
به ازای هر ایراد که از گوشی یا لوازم داخل جعبه بتونید بگیرید ٥٠/٠ تومان از قیمت کم میکنم
اشانتیون : 
١ - یک عدد  apple id با مشخصات خریدار
٢ - پک کامل نرم افزار و بازی",4,,mobile,2000000,آیفون 6s,,,APPLE
42,2566,True,Mashhad,Monday 06AM,رنگ مشکی.دو سیم.گارانتی.پلمپ اصلی.قیمت عالی زدم.تعویض فقط و فقط با ایفون مدل بالا,0,,mobile,2080000,s7 edge (پلمپ),,,SAMSUNG
43,2598,True,Tehran,Monday 04PM,"گوشی سالم سالم در حد نو بدون هیچ خطو خشی با جعبه کاملا سالم و وسایل کامل
مشخصات:
پردازنده ۸ هسته ای ۱۶ گیگ حافظه داخلی دارای اینترنت نسل چهارم LTE و پشتیبانی از NFC",5,,mobile,470000,P8 Lite,,,HUAWEI
44,2835,True,Karaj,Sunday 04AM,"اصلی 
جعبه.شارژر.هندزفیری",3,,mobile,150000,nokia 225,,,NOKIA
45,2925,True,Tehran,Friday 01PM,"سالم 
بدون ایراد
با سامسونگ دوسیم معاوضه دارم
هنسفریشم هنوز باز نکردم
بازدید شاطره چهاردانگه",2,,mobile,1900000,اپل 6اس64,,,APPLE
46,3011,False,Shiraz,Wednesday 06AM,گوشیو واقعا سالم هست دار ای ۱۶گیگ حافظه داخلی دارد کیفیت دوربین بسیار عالی و ۸هسته ای میباشد و تقریبا ۴ماه کار کرده هست.,2,,mobile,400000,هونور 4c,,,HUAWEI
47,3159,False,Tehran,Monday 06AM,کارکرد یک ماه,2,,mobile,1950000,گوشی s7 edge,,,SAMSUNG
48,3292,True,Mashhad,Wednesday 05AM,سالم. کم کار با لوازم جانبی کامل. به شرط,3,,mobile,750000,گوشی اپل.  S5. 16G,,,APPLE
49,3419,False,Karaj,Monday 05PM,مشکی در حد بسیار عالی . فقط باید اکتیو بشه,0,,mobile,230000,بلکبری نوت بوک,,,BLACKBERRY
50,3436,True,Kermanshah,Wednesday 09AM,گوشی اک اک قیمت فروش ۸۸۰ با اندکی تخفیف تضمینی میدم از هر لحاظ عالی,4,,mobile,-1,nexus 5x اک اک اک ۱۶ گیگ,,,LG
51,3438,False,Mashhad,Thursday 07AM,گوشی سالم رنگ سبز ١٦ گیگ قیمتش خدایی مناسبه خودم میخوام آیفون جدید بخرم,1,,web,500000,Iphone 5c,,,APPLE
52,3472,True,Tehran,Tuesday 02AM,گوشی سالم در حد نو، تمیز، پشت چرم، دوربین 13 حافظه داخلی 16 کلا گوشی های سری نوت خوب درامدن، به همراه 3 عدد قاب ژله ای ( محافظ گوشی )،تا حالا هم تعمیر نرفته ،یه تخفیف کوچکم سر معامله میدم ،پیامک هم جواب میدم,4,,mobile,680000,سامسونگ NOT3 نئو در حد,,,SAMSUNG
53,3525,False,Tehran,Sunday 02PM,"گوشی دمو هستش و سیم کارت نمیخوره
رنگ گلد در حد اکبند بدون خط و خش
فقط تماس پاسخگو هستم لطفا پیام ندید ممنون
با تشکر از دیوار",1,,web,900000,نت5 دمو,,,SAMSUNG
54,3662,True,Ahvaz,Tuesday 06AM,سلام گوشی هواوی پی هشت لایت سیاه حافظه گوشی 16گیگ اندروید 6ودوربین 13_مگاپیکسل گوشی به شرط تمیز وهیچ تعمیری نرفته با تشکر از سایت دیوار,1,,mobile,450000,گوشی هواوی پی 8لایت,,,HUAWEI
55,3786,True,Ahvaz,Thursday 04PM,"گوشی بسیار تمیز بدون هیچ خط و خش نو نو رنگ gery سالم بدون هیچ گونه ایراد و خط خش 
LLa",0,,mobile,18500000,Iphone6s(16g),,,APPLE
56,3845,True,Mashhad,Sunday 04PM,"در حد اک بدون معاوضه 
بدون تخفیف 
فقط پیام بدید ممنون .",3,,mobile,1480000,apple6 16G LLA gold,,,APPLE
57,3892,True,Isfahan,Tuesday 12PM,آیفون ٥ مشکی ٦٤ گیگ تمیز,1,,mobile,790000,iphon 5 gray 64,,,APPLE
58,3911,False,Kermanshah,Thursday 06AM,"مشخصات:
دوسیم کارت 
صفحه 4اینچ
دوربین5 hd
اندروید4.4.4
اسپبکر واکمن فوق العاده قوی 
معایب:
دوربین جلو ندارد 
سه گوشه از چهارگوشه قاب پشتش شکسته 
معاوضه با هواوی 4x یا هر مدل 4G اچ تی سی (سر میدم 250تومن)
برای خرید به تلگرام پیام بدید 
## فروش فوری ##",3,,mobile,200000,Sony Xperia E1 dual,,,SONY
59,3916,False,Mashhad,Friday 01PM,"لومیا 920
ویندوز10
دوربین 8
سیم کارت 4g
حافظه32گیگ 
فقط گوشی رو از مالزی واسم اوردن کارتن نداره ولی تضمینی میدم ک خیالتون راحت باشه تخفیف جزیی به خریدار واقعی
ممنون از سایت دیوار",1,,web,300000,گوشی نوکیا لومیا920,,,NOKIA
60,4067,True,Tehran,Saturday 12PM,گوشیو 20روزه خریدم از دستم افتاده السیدیش گوشش ترک خورده,2,,mobile,1300000,گوشی s7 edge,,,SAMSUNG
61,4095,True,Kermanshah,Wednesday 05AM,"ایفون7 32gig (LLA) رنگ گلد
گوشی کلا 10 روز کارکرده و با آک هیچ فرقی نداره بدون کوچکترین خط و خش و نقطه یه گلس 3D روشه به مبلغ ۶۰تومن یه گارد داره ۵۰ تومن محافظ دوربین و گلس پشت که تقدیم خریدار میشه(قیمت نو گوشی الان ۲۷۶۰) قیمت پرت ندید 
(فقط فروش معاوضه با هیچی ندارم)",4,,mobile,2530000,ایفون ۷ آک,,,APPLE
62,4266,False,Shiraz,Friday 06PM,"Lumia 1320
Nokia
سالم اطلاعاتش تو سایت هست
اپدیت اخر ویندوز۱۰
خدایی قیمت خوبی گزاشتم
از اول دست خودم بوده
فروش فوری به دلایلی 
تماس بگیرین پاسخگو هستم

آگهی تکراری نیست
یاعلی",2,,web,350000,lumia 1320,,,NOKIA
63,4381,True,Tehran,Wednesday 02PM,"گوشی در حدآک با جعبه اوازم کامل با گلس و ژله ای و گارانتی همراه سرویس.کارکرد یک ماه.
دوسیم اندروید۶ هشت هسته ای دوربین۱۳
قیمت مقطوع.یه تخفیف جزیی فقط حین معامله.
سوال و جواب نکنید لطفا .همه چیز واضحه.
فقط تماس",2,,mobile,650000,سامسونگj7 مشکی 4g,,,SAMSUNG
64,4515,True,Mashhad,Tuesday 10AM,"سلام
گوشی سالم بدون خط و خش
بدنه فلزی
دوربین جلو و عقب5و سلفی2مگا پیکسل
هر دو دوربین فلش دار
فول اچ دی
یک ماه کار کرده
نت4gت
تک سیم کارت
کارتن و لوازم موجود است.
از200کمتر نمیدم لطفا درخواست تخفیف ندهید.مقطوع
باتشکر از دیوار",2,,mobile,200000,سامسونگA5فول کپی,,,SAMSUNG
65,4523,True,Tehran,Friday 03PM,"گوشی  اکبند بسته بندی هنوز باز نشده
به مشتری تخفیف میدم
",2,,mobile,3400000,Iphone7 128 blackjet,,,APPLE
66,4550,True,Mashhad,Thursday 06PM,سلام سونی ایوان تمیز تریجی همراه با پاوربانک اندروید۴.۳دوربین۵حافظه ۸گیگ سالم میباشدهمراه باکارتون دفترچه فاکتور خریدش وشارژروپاور بانک هندفری ندارد تخفیف هم داده میشه با مشتری واقعی فقط تماس معاوضه به هیچ عنوان ندارم ممنون از پرسنل دیوار.,2,,mobile,170000,سونی ایوان,,,SONY
67,4642,True,Ahvaz,Monday 03PM,"گوشی جی 1 ایس با اینترنت پرسرعت 4G سفید رنگ همراه با وسایل جانبی کامل و فابریک (گارد و گلس ضدضربه اصلی و شارژر و هندزفری) گوشی در حد آک فقط یک هفته کار کرده بدون هیچ گونه خط و خش یا ایراد ! حافظه 8 گیگ . گوشی به شرط تعمیر نرفته و با مهلت تست 24 ساعته و از درب منزل بنده تحویل داده میشود ! 
توجه : این گوشی فقط دست خودم بوده دو هفته بیشتر هم ازش استفاده نکردم 400 تومن گرفتمش قیمتشم 300 تومن مقطوع مقطوعه اگر با قیمت مشکل داری زنگ نزن چون  یک ریال هم تخفیف نداره ! داری گوشی کاملا نو میبری
تلگرام و تماس و اس ام اس 24 ساعته جوابگو هستم",2,,mobile,300000,سامسونگ جی 1 ایس فورجی,,,SAMSUNG
68,4735,True,Mashhad,Sunday 08PM,"Iphone 7 jetblack 128gig  LLA آکبند
گلس رایگان 
اپل ایدی رایگان",1,,mobile,3200000,ایفون ٧ جت بلک ١٢٨ گیگ ال ال ای,,,APPLE
69,4796,True,Tehran,Monday 06AM,"5S16درحد 
کاملا نو
در حد فقط دو سه لکه داره
باتری ال سیدی عالی
کم کار 
با3قاب گلس
شارژر هنسفیری اصل 
کارتنم داره
واقعا کم کاره
تخفیفم جزعی پای معامله در خدمتم",4,,mobile,1050000,5s16درحد,,,APPLE
70,4847,False,Karaj,Thursday 07AM,گوشی کاملا سالم.16 گیگ.مشکی.فقط و فقط یه خش کوچک.,0,,web,930000,iphone 5s,,,APPLE
71,5014,True,Tehran,Saturday 06PM,اک و پلمپ هست تازه خریدم همراه با فاکتور و گارانتی با تمام وسایل همراه چون خونه گرفتم میفروشم,2,,mobile,1750000,S7 - G930F,,,SAMSUNG
72,5334,False,Mashhad,Saturday 02AM,"گوشی تمیز هستش 
یک باتری اضافه هم براش خریدم 
کیف و شارژر هم داره",2,,web,120000,xperia mini,,,SONY
73,5397,True,Isfahan,Monday 02PM,"گوشی تمیز و سالم در حد آک و با گوشی نو فرقی نداره یک ماهه خریدم گلس تمام صفحه ٧٠ هزار تومنی روش هست
فقط نقد میفروشم",3,,mobile,2250000,گوشی آیفون 6s silver 64G,,,APPLE
74,5600,False,Tehran,Saturday 03PM,گوشی بدوووون کوچکترین خط خش در حد به شرط میریم تعمیرکار ببینه  LL/A مشكي,0,,web,1500000,ایفون 6 16g,,,APPLE
75,5662,True,Tabriz,Thursday 07PM,"گوشی بدون کوچک ترین خطو خش و بدون ایراد میباشد  حافظه داخلی ۱۶ گیگ رنگ مشکی فقط یک ماه استفاده شده با گلس اصل تمامی لوازم گوشی از هر نظر تضمین میشه  .اپدیت اخر روش نصبه قیمت کاملا مقطوع هستش و تقاضای تخفیف نکنید 
به پیامک جواب داده نمیشود فقط مشتری واقعی زنگ بزنه",3,,mobile,1400000,گوشی ایفون se ۱۶ گیگ  در حد صفر,,,APPLE
76,5693,True,Shiraz,Tuesday 03PM,"با سلام
فروش گوشی تمیز مدل سامسونگ s6 edge 64GB زیر ١ماه مورد استفاده بوده بدون خط و خش سالم و تمیز
((تخفیف پای معامله و با فاکتور فروش تحویل میگردد))
٤٨ساعت هم محلت تست))",1,,mobile,1350000,سامسونگ s6 64GB,,,SAMSUNG
77,5708,True,Karaj,Sunday 06AM,"بدون خط و خش و تعمیر و ضربه (کاملاسالم)
لوازم کامل
حافظه داخلی 8 گیگ
چهار هسته ای
رم دستگاه 1 
پردازشگر 1/3 
صفحه نمایشگر 4/5 اینچ 
دوربین 5 مگاپیکسل
به همراه یک قاب ژله ای",2,,mobile,220000,اچ.تی.سی ( دیزایر 320 ),,,HTC
78,5728,False,Kermanshah,Wednesday 05AM,"بسیارتمیز.سالم سالم.بدون کوچکترین ایراد.باتری بسیارقوی ک خیلی خوب شارژ نگه میداره.کلیه وسایل کامل و فابریک.ازهرنظر تضمین تضمین.خدای پول ی گوشی ساده نیس.تلگرامم درخدمتم
باتشکر از برنامه خوب دیوار",1,,mobile,150000,نوکیا ۵۸۰۰ فوق العاده تمیز,,,NOKIA
79,5733,True,Karaj,Thursday 10PM,گوشی بالا نمیاد من دنبال درست کردنش نرفتم همه جیزش سالمه بدنه ال سی دی و ....قیمت مقطوع بدون تخفیف ممنون از اپ دیوار,3,,mobile,100000,هواوی پی ۶,,,HUAWEI
80,6063,True,Isfahan,Sunday 08PM,"باسلام
یدونه y520 خاموش با تمام کارتن و لوازمش خریدارم.
فقط پیام یا در تلگرام جواب گو هستم.تماس جوابگو نیستم.
باتشکر",0,,mobile,-1,خریدارy520خاموش با همه لوازم,,,HUAWEI
81,6271,False,Isfahan,Tuesday 06AM,موبایل آیفون 32گیگ حافظه مشکی فقط فروش(آیفون4s),3,,web,450000,آیفون 4s اصلی,,,APPLE
82,6313,False,Tehran,Sunday 05AM,گوشی سالم.معاوضه دارم .بشرط میدم,2,,mobile,450000,بلک بریz10,,,BLACKBERRY
83,6363,True,Mashhad,Friday 03PM,"سلام
گوشی J$NUM
سفید
دو سیم
فور جی 4G
رم ۱.۵ گیگ
سالم و تمیز
فقط ۲ ماه کار کرده
قیمت خود گوشی ۴۸۰ با یه اکانت کلش رویال لول ۷ (نزدیک به ۸) زدم ۵۵۰
معاوضه هم دارم با A$NUMکه سر میدم الباقی شو
تلگرام و پیامک هم پاسخگو هستم",1,,mobile,480000,J$NUMG Duos,,,SAMSUNG
84,6470,True,Tehran,Friday 06PM,همه رنگ همه مدل,1,,mobile,70000,گوشی سامسونگ ساده,,,SAMSUNG
85,6611,True,Mashhad,Tuesday 02PM,"گوشی درحداک اصلا خود اک 
قیمت خیلی پایین گفتم که زود فروش بره 
دوسیمه .فورجی باگارانتی .فقط وفقط پیام بدین 
باتشکر",3,,mobile,315000,گوشی لنوو درحد اک فورجی دوسیم,,,LENOVO
86,6661,True,Tehran,Tuesday 06PM,"گوشی بدون خط و خش و نقطه میباشد
بسیار تمیز است دست خودم بوده
همراه با گلس",3,,mobile,870000,iphone 5s گری 16,,,APPLE
87,6785,False,Tehran,Tuesday 06AM,تقریبا نو؛ سه ماه کارکرده. به خریدار واقعی تخفیف داده میشه، لطفا مسیج بدین. ممنون.,5,,web,765000,بلک بری کلاسیک blackberry Classic,,,BLACKBERRY
88,6876,False,Isfahan,Thursday 04AM,"گوشی کاملا سالمه گلس داره
٥   ٦تا قاب هم در شکل های مختلف داره
شارژر و هنزفیری سالم
٦ماه گارانتی داره
یه نقطه کنار بلنگو داره 
برا عکس تو تلگرام پیام بدین
قیمت پیشنهادیتونو بفرستین
فقط اس ام اس",0,,mobile,-1,apple iphone 6s 64g gray lla,,,APPLE
89,7053,False,Tehran,Friday 08PM,گوشی اپل ١٦گیگ فایو اس کاملا سالم,0,,web,1000000,اپل 5s 16گیگ,,,APPLE
90,7144,False,Mashhad,Monday 08AM,"سلام
گوشی دو سیم کارت.
 لطفا اس مس بدید، اگر به توافق رسیدیم تماس میگیرم.",2,,web,300000,گوشی در حد نو Desire 601,,,HTC
91,7473,True,Karaj,Thursday 05AM,"سلام. گوشی صفر و‌آکبنده...فقط در حد نصف روز ...این کوشی فرق داره و j710f هست.. ۱۶ گیگ و دوسیمکارت و رنگ گلد دارای گلس و فاکتور معتبر و گارانتی کامل.. ضمنا ۴جی هم هست
صفحه نمایش عالی super amo led
بسیار زیبا و شیک و خوش فرم با پردازنده قوی
همین گوشی در سایت دیجی کالا ببینید نزدبک یک میلیون پولشه(۹۸۰هزار)
صدتومن زیر قیمت میدم‌که بره",0,,mobile,800000,سامسونگ گلکسی j$NUM,,,SAMSUNG
92,7491,True,Tehran,Monday 09PM,"فقط تماس جوابگو هستم.
اولین گوشی صاایران مدل Rc620 فقط با سیم کارتهای قدیمیه همراه اول کارمیکنه.
برای تقریبا ۲۰ سال پیشه.
بهمراه شارژر.
بشرط تست.
فقط باطریش زیاد شارژ نگه نمیداره.",1,,mobile,70000,گوشی آر سی,,,SAMSUNG
93,7561,True,Kermanshah,Wednesday 07AM,سلام گوشی خیلی خیلی تمیز بدون کوچک ترین خط وخشی چون میخوام آیفون بخرم میفروشمش دوسیم کارت رم هم میخوره دارای ۱۸ ماه گارانتی سامسونگ گارد وگلس اورجینال داره خودم ۲میلیون خریدمش فکر میکنم۲۲۰هزار تخفیف خوبه بس لطفلا برای تخفیف پیام ندید,4,,mobile,1780000,گلکسیS7نونو گارانتی دار,,,SAMSUNG
94,7655,True,Shiraz,Sunday 10AM,"بسیار سالم با وسایل کامل.
گوشی کم کار.",2,,mobile,460000,هونور4x گلد-honor 4X,,,HUAWEI
